Product_Name,Category,Main_Category,Original_Price,Discount_Percent,Discounted_Price,In_Stock,Total_Quantity
Style Shoes Ultra,Shoes,Clothing,9399,10,8459,True,4
Max Smartphones Pro,Smartphones,Electronics,4117,0,4117,True,10
Vogue Gaming Consoles S,Gaming Consoles,Electronics,11437,10,10293,False,0
Trendy Televisions Special,Televisions,Electronics,35686,0,35686,True,12
Neo Activewear Edition,Activewear,Clothing,3634,35,2362,True,15
Sneakers 6222,Sneakers,Clothing,3634,60,1454,False,0
Trendy Makeup 2024,Makeup,Beauty & Personal Care,38390,0,38390,True,50
Elite Laptops Special,Laptops,Electronics,13363,60,5345,True,30
Pro T-Shirts Lite,T-Shirts,Clothing,2677,20,2142,True,8
Smartphones 3365,Smartphones,Electronics,9976,5,9477,True,2
Televisions 1944,Televisions,Electronics,2698,0,2698,False,0
Trendy Shirts 2024,Shirts,Clothing,2690,15,2286,False,0
Max Smartphones Z,Smartphones,Electronics,6749,35,4387,True,6
Ultra Televisions Collection,Televisions,Electronics,410,30,287,True,7
Shoes 2514,Shoes,Clothing,523,0,523,False,0
Value Dresses Z,Dresses,Clothing,2372,0,2372,True,15
Trendy Televisions Pro,Televisions,Electronics,1321,10,1189,True,5
Kurtas 4082,Kurtas,Clothing,7414,5,7043,False,0
Home Decor 4555,Home Decor,Home & Kitchen,1513,5,1437,True,30
Value Smartphones 3000,Smartphones,Electronics,786,5,747,True,15
Premium Cookware Z,Cookware,Home & Kitchen,33121,35,21529,True,8
Sneakers 2922,Sneakers,Clothing,3674,50,1837,True,9
Wardrobes 8846,Wardrobes,Furniture,5380,10,4842,True,15
Tablets 4350,Tablets,Electronics,773,50,386,True,0
Pro Fitness Gear 3000,Fitness Gear,"Sports, Toys & Others",2428,10,2185,True,3
Wardrobes 7236,Wardrobes,Furniture,5692,15,4838,True,100
Style Headphones 5000,Headphones,Electronics,1104,5,1049,True,3
Neo Headphones Special,Headphones,Electronics,8030,25,6022,True,30
Super Skincare Special,Skincare,Beauty & Personal Care,2257,60,903,True,200
Sarees 6246,Sarees,Clothing,3372,20,2698,True,7
Cookware 7073,Cookware,Home & Kitchen,2254,10,2029,False,0
Premium Activewear Ultra,Activewear,Clothing,54751,25,41063,True,15
Dresses 1265,Dresses,Clothing,4842,0,4842,False,0
Vogue Toys Series,Toys,"Sports, Toys & Others",1246,50,623,True,300
Pro Office Chairs 3000,Office Chairs,Furniture,14356,15,12203,True,40
Vogue Dresses Ultra,Dresses,Clothing,1008,15,857,True,3
Style Home Decor 3000,Home Decor,Home & Kitchen,6465,20,5172,True,25
Value Sarees Special,Sarees,Clothing,386,25,290,False,0
Skincare 9037,Skincare,Beauty & Personal Care,877,0,877,True,10
Luxury Kurtas 5000,Kurtas,Clothing,6365,25,4774,True,2
Luxury Sneakers Special,Sneakers,Clothing,12869,5,12226,True,5
Royal Smartphones Pro,Smartphones,Electronics,6157,30,4310,True,50
Value Televisions Max,Televisions,Electronics,4240,40,2544,True,10
Sofas 1794,Sofas,Furniture,3331,35,2165,True,7
Laptops 7756,Laptops,Electronics,721,20,577,True,8
Style Speakers Ultra,Speakers,Electronics,1933,20,1546,True,80
Elite Headphones X,Headphones,Electronics,2707,0,2707,True,40
Classic Gaming Consoles 5000,Gaming Consoles,Electronics,19474,35,12658,True,7
Style Shoes Special,Shoes,Clothing,7702,5,7317,True,4
Premium Dining Sets X,Dining Sets,Furniture,498,15,423,True,6
Trendy Dining Sets X,Dining Sets,Furniture,7509,5,7134,True,200
Luxury Televisions Elite,Televisions,Electronics,2987,0,2987,True,15
Max Gaming Consoles X,Gaming Consoles,Electronics,2044,25,1533,True,12
